step,time,kinetic,potential,total,temperature
0,0.00000000000000000e0,9.89999999999999432e1,-1.87983392181709462e2,-8.89833921817095188e1,9.99999999999999445e-1
1,5.00000000000000010e-3,9.95434135598320751e1,-1.88529543726839819e2,-8.89861301670077438e1,1.00548902585688960e0
2,1.00000000000000002e-2,1.00116129577519075e2,-1.89096596647729967e2,-8.89804670702108922e1,1.01127403613655642e0
3,1.49999999999999994e-2,1.00789143936687381e2,-1.89763979182884356e2,-8.89748352461969745e1,1.01807216097664011e0
4,2.00000000000000004e-2,1.01622694126992030e2,-1.90601640497211974e2,-8.89789463702199441e1,1.02649185986860636e0
5,2.50000000000000014e-2,1.02550397239469234e2,-1.91541968492539525e2,-8.89915712530702905e1,1.03586259837847705e0
6,2.99999999999999989e-2,1.03394405427990677e2,-1.92396546954075291e2,-8.90021415260846140e1,1.04438793361606752e0
7,3.50000000000000033e-2,1.03998248308271272e2,-1.93001064346544553e2,-8.90028160382732807e1,1.05048735664920478e0
8,4.00000000000000008e-2,1.04333136210967268e2,-1.93328268280117214e2,-8.89951320691499461e1,1.05387006273704320e0
9,4.49999999999999983e-2,1.04489800060751023e2,-1.93475563278414029e2,-8.89857632176630062e1,1.05545252586617200e0
10,5.00000000000000028e-2,1.04595663787379976e2,-1.93575210713538894e2,-8.89795469261589176e1,1.05652185643818153e0
11,5.50000000000000003e-2,1.04736888550304826e2,-1.93716279217462528e2,-8.89793906671577020e1,1.05794836919499824e0
12,5.99999999999999978e-2,1.04929794894080146e2,-1.93912778298456573e2,-8.89829834043764265e1,1.05989691812202169e0
13,6.50000000000000022e-2,1.05138392773970409e2,-1.94125897951877135e2,-8.89875051779067263e1,1.06200396741384262e0
14,7.00000000000000067e-2,1.05318518792544936e2,-1.94307704453959019e2,-8.89891856614140835e1,1.06382342214691850e0
15,7.49999999999999972e-2,1.05463212326858823e2,-1.94450771322471411e2,-8.89875589956125879e1,1.06528497299857405e0
16,8.00000000000000017e-2,1.05615211957506531e2,-1.94599821683201469e2,-8.89846097256949378e1,1.06682032280309635e0
17,8.50000000000000061e-2,1.05824579385265579e2,-1.94810933431354016e2,-8.89863540460884366e1,1.06893514530571299e0
18,8.99999999999999967e-2,1.06081741477862465e2,-1.95076370697091335e2,-8.89946292192288695e1,1.07153274220063088e0
19,9.50000000000000011e-2,1.06305952889817263e2,-1.95308669620646583e2,-8.90027167308293201e1,1.07379750393754803e0
20,1.00000000000000006e-1,1.06429870960710034e2,-1.95431329435596780e2,-8.90014584748867463e1,1.07504920162333373e0
21,1.04999999999999996e-1,1.06510650443983209e2,-1.95499515694826044e2,-8.89888652508428351e1,1.07586515599983046e0
22,1.10000000000000001e-1,1.06736319411887138e2,-1.95712191921936039e2,-8.89758725100489016e1,1.07814464052411241e0
23,1.15000000000000005e-1,1.07275800719993413e2,-1.96252725108897408e2,-8.89769243889039956e1,1.08359394666660003e0
24,1.19999999999999996e-1,1.08097544977939833e2,-1.97091978961074886e2,-8.89944339831350533e1,1.09189439371656394e0
25,1.25000000000000000e-1,1.08945489665227242e2,-1.97961649508776929e2,-8.90161598435496870e1,1.10045949156795198e0
26,1.30000000000000004e-1,1.09485919055904077e2,-1.98517102816373409e2,-8.90311837604693324e1,1.10591837430206130e0
27,1.35000000000000009e-1,1.09463837032766477e2,-1.98500466924187265e2,-8.90366298914207874e1,1.10569532356329780e0
28,1.40000000000000013e-1,1.08758272416063193e2,-1.97794213920986692e2,-8.90359415049234997e1,1.09856840824306246e0
29,1.44999999999999990e-1,1.07353614174263186e2,-1.96385723710169060e2,-8.90321095359058745e1,1.08437994115417369e0
30,1.49999999999999994e-1,1.05301886910080341e2,-1.94326626520590139e2,-8.90247396105097977e1,1.06365542333414487e0
31,1.54999999999999999e-1,1.02722563269264256e2,-1.91734844283887099e2,-8.90122810146228431e1,1.03760164918448750e0
32,1.60000000000000003e-1,9.98150600457901618e1,-1.88810704812974848e2,-8.89956447671846860e1,1.00823292975545620e0
33,1.65000000000000008e-1,9.68460308225735815e1,-1.85823080623184808e2,-8.89770498006112263e1,9.78242735581551281e-1
34,1.70000000000000012e-1,9.41080163072168432e1,-1.83068460483791370e2,-8.89604441765745264e1,9.50586023305220684e-1
35,1.75000000000000017e-1,9.18624003937796516e1,-1.80812413026859986e2,-8.89500126330803340e1,9.27903034280602501e-1
36,1.79999999999999993e-1,9.02809254915254940e1,-1.79229358502117606e2,-8.89484330105921117e1,9.11928540318439285e-1
