step,id,x,y,vx,vy
0,0,1.16765089388119385e1,9.24042428516721248e-1,9.00153816506786497e-1,7.49602257511712167e-1
0,1,1.86801982629195651e0,3.15887455291934238e-1,7.01477415273659033e-1,1.92330920071750677e0
0,2,2.58465922554450955e0,9.49697721760497515e0,1.31961013071898708e-2,-3.28627704921188812e-1
0,3,2.54215128187119310e0,1.15241383998526015e0,1.27221590093338910e0,-7.82461143585307717e-1
0,4,3.72382217618185196e0,9.77875751375162849e0,-5.55604668396184165e-1,-6.93488664076000183e-1
0,5,4.80134504340622481e0,9.42900300348868114e0,8.37036744324233029e-1,6.29456130688957005e-1
0,6,5.79040085337720534e0,9.80589092098066217e0,2.03157463854708809e0,2.31164435326941919e-1
0,7,6.63335098738511775e0,4.01637719242674412e-2,-5.13547362928044704e-1,-2.61609125646655949e-1
0,8,1.06576762213209850e1,6.64962128534211772e-1,-7.50183606778181689e-2,-1.88502282044326286e0
0,9,1.18779544050879888e1,9.93684608948356107e0,8.48740287389951775e-1,4.25754930447546920e-1
0,10,2.82775999597828009e-1,2.17222868191147533e0,1.80893757929417087e-1,-7.51635165945174988e-1
0,11,1.09392965312614221e0,1.48211016400570239e0,8.20704812618718083e-1,-2.92542940237095317e-1
0,12,4.28986383231190693e0,3.54277222525677260e0,7.41509911244056519e-2,1.87317036328776210e0
0,13,3.06192867604843411e0,1.54273062007890233e-1,-3.77544049118738512e-1,2.59312974274671815e0
0,14,4.93773011258883443e0,3.94249872527748027e-2,9.18995517421189179e-2,3.47185261787336830e-1
0,15,5.74679426169912677e0,6.15585609138674328e-1,8.08380488241448480e-1,2.07178758853394124e-1
0,16,7.44931963591699642e0,7.98250012508036400e-1,-9.39944227255305575e-1,9.07263540476430097e-1
0,17,8.57609745588864136e0,1.81550626729099318e0,-5.51063500964310213e-2,-1.55153471552502309e-1
0,18,9.67246877068470567e0,1.84319806680764575e0,1.00073165925352259e-1,-2.11496098100939889e-1
0,19,1.06797693252211818e1,1.72195433746333526e0,-3.75308635636374510e-1,3.89692953107947715e-1
0,20,1.13799754479464568e1,2.52440432183059427e0,-5.99618133003712361e-1,-2.06851675063599416e-1
0,21,1.28168835145348825e0,2.50259082934935373e0,-7.05414492330246556e-1,-9.05181511635418157e-1
0,22,2.31568455420443797e0,3.19018385276812300e0,4.92756355398306256e-1,-1.67595035067563236e0
0,23,3.76028784635583735e0,8.70757141439016169e-1,1.36323187028849158e0,1.09486339716171499e0
0,24,6.52840592867488212e0,1.26509875583866682e0,9.11861987856780298e-1,6.38107154139676891e-1
0,25,8.00475861348088280e0,2.74171019018372908e0,-6.97533582170348221e-1,1.79987886233491401e0
0,26,9.23709642695823163e0,2.75559615723640006e0,4.63240940826144310e-1,7.97261604816660530e-1
0,27,1.03097396780385679e1,2.79198015979562530e0,-1.28927758332443032e0,4.49874936316587481e-1
0,28,9.52154774170256246e0,8.23297759876211011e-1,-4.59301975411470220e-1,7.12452548857826606e-1
0,29,1.07030019378460270e1,3.95301139975999272e0,4.59425508472889765e-1,7.96600588556366090e-2
0,30,5.23306897560902429e-1,3.27958148790335535e0,2.41953481654577814e-2,3.27989316637073258e-1
0,31,1.45007740951099873e0,3.90515620670692565e0,3.72366753353657765e-1,-2.77038984400838473e0
0,32,2.48510943939266582e0,2.20353041211181289e0,-9.04505204629465154e-1,-1.34058589352178714e0
0,33,5.84983263293346845e0,4.31882145947880325e0,-9.65571929855459782e-2,6.00169650838115465e-2
0,34,4.78883211458501989e0,1.15970740596866895e0,-1.30684203954049183e0,-1.69210591744584943e-1
0,35,4.92469194038062774e0,2.81802562468353202e0,2.89533948778581907e-1,2.26807644307337464e-1
0,36,5.63831481073920138e0,2.03386372504658830e0,-1.81921524834942927e0,-1.37664426140592888e0
