step,time,kinetic,potential,total,temperature
0,0.00000000000000000e0,9.90000000000000000e1,-2.04882907301377571e2,-1.05882907301377571e2,1.00000000000000000e0
1,5.00000000000000010e-3,1.00314357838861355e2,-2.06199867366827760e2,-1.05885509527966406e2,1.01327634180668036e0
2,1.00000000000000002e-2,1.01519932153203598e2,-2.07409405806267529e2,-1.05889473653063931e2,1.02545386013336959e0
3,1.49999999999999994e-2,1.02546413043781158e2,-2.08438810977114713e2,-1.05892397933333555e2,1.03582235397758748e0
4,2.00000000000000004e-2,1.03335576863831719e2,-2.09229129564832590e2,-1.05893552701000871e2,1.04379370569526997e0
5,2.50000000000000014e-2,1.03857424449973593e2,-2.09750590567947484e2,-1.05893166117973891e2,1.04906489343407672e0
6,2.99999999999999989e-2,1.04112460412500724e2,-2.10004007012906925e2,-1.05891546600406201e2,1.05164101426768397e0
7,3.50000000000000033e-2,1.04118511836325496e2,-2.10009605039702620e2,-1.05891093203377125e2,1.05170213976086369e0
8,4.00000000000000008e-2,1.03883862182758705e2,-2.09776979883514372e2,-1.05893117700755667e2,1.04933194123998685e0
9,4.49999999999999983e-2,1.03388815310317099e2,-2.09285952544580255e2,-1.05897137234263155e2,1.04433146778098074e0
10,5.00000000000000028e-2,1.02592395614147705e2,-2.08493647389076386e2,-1.05901251774928681e2,1.03628682438533026e0
11,5.50000000000000003e-2,1.01463348006817185e2,-2.07365462923026485e2,-1.05902114916209300e2,1.02488230309916339e0
12,5.99999999999999978e-2,1.00023386509540202e2,-2.05920895328233883e2,-1.05897508818693680e2,1.01033723747010296e0
13,6.50000000000000022e-2,9.83781120578517516e1,-2.04264976361863773e2,-1.05886864304012022e2,9.93718303614664178e-1
14,7.00000000000000067e-2,9.67222357226934832e1,-2.02594143571521158e2,-1.05871907848827675e2,9.76992280027206950e-1
15,7.49999999999999972e-2,9.53123947747390901e1,-2.01168479677214151e2,-1.05856084902475061e2,9.62751462371101874e-1
16,8.00000000000000017e-2,9.44010410513781579e1,-2.00247756134501572e2,-1.05846715083123414e2,9.53545869205839947e-1
17,8.50000000000000061e-2,9.41479182128517778e1,-1.99996573644820671e2,-1.05848655431968893e2,9.50989072857088669e-1
18,8.99999999999999967e-2,9.45419221939648509e1,-2.00406654646284068e2,-1.05864732452319217e2,9.54968911050150027e-1
19,9.50000000000000011e-2,9.53706429602437424e1,-2.01262463852695817e2,-1.05891820892452074e2,9.63339827881249944e-1
20,1.00000000000000006e-1,9.62702627739516856e1,-2.02191010019198728e2,-1.05920747245247043e2,9.72426896706582666e-1
21,1.04999999999999996e-1,9.68605850480237649e1,-2.02799553059974812e2,-1.05938968011951047e2,9.78389747959836020e-1
22,1.10000000000000001e-1,9.69322530055165998e1,-2.02866698680495915e2,-1.05934445674979315e2,9.79113666722389864e-1
23,1.15000000000000005e-1,9.65901106898459005e1,-2.02499536753656514e2,-1.05909426063810614e2,9.75657683735817183e-1
24,1.19999999999999996e-1,9.62011073585059364e1,-2.02085467427209323e2,-1.05884360068703387e2,9.71728357156625644e-1
25,1.25000000000000000e-1,9.61052719798998112e1,-2.01987102746599533e2,-1.05881830766699721e2,9.70760323029291050e-1
26,1.30000000000000004e-1,9.63386792575861080e1,-2.02237142770904569e2,-1.05898463513318461e2,9.73117972298849554e-1
27,1.35000000000000009e-1,9.66663241294051829e1,-2.02579543604658483e2,-1.05913219475253300e2,9.76427516458638234e-1
28,1.40000000000000013e-1,9.68428182918686531e1,-2.02757297438088983e2,-1.05914479146220330e2,9.78210285776451083e-1
29,1.44999999999999990e-1,9.67861162658902430e1,-2.02692187306152476e2,-1.05906071040262233e2,9.77637538039295428e-1
30,1.49999999999999994e-1,9.65576250696704221e1,-2.02453427679063196e2,-1.05895802609392774e2,9.75329546158287042e-1
31,1.54999999999999999e-1,9.62667481472883395e1,-2.02154480822520242e2,-1.05887732675231902e2,9.72391395427154914e-1
32,1.60000000000000003e-1,9.60079567452579425e1,-2.01890659247638411e2,-1.05882702502380468e2,9.69777340861191384e-1
