step,id,x,y,vx,vy
0,0,2.26525639968096204e0,1.68570380130504738e0,2.93035165038574352e-1,5.94635183872008644e-1
0,1,1.25499457860951114e0,1.61008697837890313e0,3.91301819090270286e-1,2.98094918446015933e-1
0,2,1.13536395077897723e1,6.68627381417449218e0,-3.12577060741920432e-1,-6.20537701112981385e-3
0,3,6.19079161479221618e0,6.37847795092708170e-1,-8.20252649529039535e-1,-9.83667164050466947e-1
0,4,1.36311580505858965e0,7.23705902642034715e0,-2.32889482342697685e0,-4.61660471970205544e-2
0,5,1.20133522581467256e0,3.77804394049285941e0,1.36243595944309281e0,-1.45064760807787096e0
0,6,3.60747889577430403e0,9.27636205325074847e0,8.56284489048327435e-1,2.36504278445482607e-1
0,7,7.38800992675429313e0,1.20817725783607099e0,-8.19662484492976046e-2,-1.13480727092507805e0
0,8,1.08397604687482385e1,3.44423559522542666e0,-1.94303233560900201e0,9.20311298102135411e-1
0,9,1.21681775403392561e-1,4.73502131653125657e-1,7.31520361963236110e-1,-9.57500481919879368e-3
0,10,2.63364794500096422e-1,1.56727671835547144e0,-9.33113144801348771e-1,1.13417937728612875e-1
0,11,3.09539611214156096e0,2.74547665043132172e0,-1.73376975743066153e-1,-1.29872354833952297e0
0,12,2.54340025173510753e0,9.63660734604877867e0,7.02710734814392168e-1,-9.40378346961377121e-1
0,13,3.78450857742492852e0,8.32647622094399509e0,-1.17089690327026222e-1,4.58368276568683009e-1
0,14,5.54808154216906857e0,6.98319557294225834e0,1.56544707647205183e0,2.14058225872822389e-1
0,15,5.96449574353192880e0,2.72963336248305621e0,-3.71550384697573344e-1,-1.05523399512873084e0
0,16,7.48260636233072596e0,2.99326066582155947e0,-7.26181295834527951e-1,2.23353507143141217e0
0,17,1.13009083437616784e1,2.32011989515070072e0,-6.47658030241530458e-1,-1.22585682003817231e0
0,18,1.49867068701803485e0,6.11826574323509309e0,-5.95296355848289993e-1,-2.42646639036862760e-1
0,19,9.78995407973249776e0,3.57542559790806802e0,1.29688426697069342e-1,1.49720219156823742e0
0,20,1.12637351504872054e1,4.39923194383024629e0,-6.06889259390731239e-1,-6.21261256348664026e-1
0,21,1.18508973216367668e1,3.45850576980872804e0,8.05507107029314273e-1,-6.74106529079659067e-1
0,22,1.12762371936938770e1,5.53591030001203244e0,7.78297183877069032e-1,-1.32276003816437937e0
0,23,2.82036922300053527e0,8.56750934153758692e0,1.19986325984200778e-2,1.46723406546479107e0
0,24,1.02462108603107875e1,4.61475385069723654e0,-1.75654880555400017e0,3.70239085200659357e0
0,25,4.91595840759338731e0,2.96394333905659879e0,3.69500223819945961e-1,3.82617807880724137e-1
0,26,1.09176423123729052e1,1.76505282055055029e-1,7.89611343814658334e-2,9.24880385792202997e-1
0,27,8.97584615442214684e0,6.65509399902702459e0,6.38303331932113083e-1,-4.10685913460537011e-1
0,28,2.38215451019951807e0,4.50130748213131771e0,-1.22601495748844339e-1,8.58295352460471617e-1
0,29,9.12066749896711570e0,2.83340266747585323e0,3.15907093951919460e-1,4.87346225678771117e-1
0,30,4.68536604609532337e-1,5.77127903392033303e0,-1.99168127885922669e-1,5.95790619390949780e-2
0,31,2.49649032320700259e0,7.63150947973836224e0,-1.85350328840045958e-1,1.28437551315883458e0
0,32,3.85014523432471334e-1,4.41834502302889920e0,3.93056842915179838e-2,1.97408599654174366e0
0,33,9.28623520476823572e0,1.64081896941163285e0,-8.78249732162605934e-1,2.30117529914394076e-1
